00001 A00     0 Cholera                                                      Cholera
47394 S52343N 1 Displ spiral fx shaft of rad, unsp arm, 7thN                 Displaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
47395 S52343P 1 Displ spiral fx shaft of rad, unsp arm, 7thP                 Displaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with malunion
47396 S52343Q 1 Displ spiral fx shaft of rad, unsp arm, 7thQ                 Displaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with malunion
47397 S52343R 1 Displ spiral fx shaft of rad, unsp arm, 7thR                 Displaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
47398 S52343S 1 Displaced spiral fx shaft of radius, unsp arm, sequela       Displaced spiral fracture of shaft of radius, unspecified arm, sequela
47399 S52344  0 Nondisplaced spiral fracture of shaft of radius, right arm   Nondisplaced spiral fracture of shaft of radius, right arm
47400 S52344A 1 Nondisp spiral fracture of shaft of radius, right arm, init  Nondisplaced spiral fracture of shaft of radius, right arm, initial encounter for closed fracture
47401 S52344B 1 Nondisp spiral fx shaft of rad, r arm, 7thB                  Nondisplaced spiral fracture of shaft of radius, right arm, initial encounter for open fracture type I or II
47402 S52344C 1 Nondisp spiral fx shaft of rad, r arm, 7thC                  Nondisplaced spiral fracture of shaft of radius, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
47403 S52344D 1 Nondisp spiral fx shaft of rad, r arm, 7thD                  Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for closed fracture with routine healing
47404 S52344E 1 Nondisp spiral fx shaft of rad, r arm, 7thE                  Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with routine healing
47405 S52344F 1 Nondisp spiral fx shaft of rad, r arm, 7thF                  Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
47406 S52344G 1 Nondisp spiral fx shaft of rad, r arm, 7thG                  Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for closed fracture with delayed healing
47407 S52344H 1 Nondisp spiral fx shaft of rad, r arm, 7thH                  Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with delayed healing
47408 S52344J 1 Nondisp spiral fx shaft of rad, r arm, 7thJ                  Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
47409 S52344K 1 Nondisp spiral fx shaft of rad, r arm, 7thK                  Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for closed fracture with nonunion
47410 S52344M 1 Nondisp spiral fx shaft of rad, r arm, 7thM                  Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with nonunion
47411 S52344N 1 Nondisp spiral fx shaft of rad, r arm, 7thN                  Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
47412 S52344P 1 Nondisp spiral fx shaft of rad, r arm, 7thP                  Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for closed fracture with malunion
47413 S52344Q 1 Nondisp spiral fx shaft of rad, r arm, 7thQ                  Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with malunion
47414 S52344R 1 Nondisp spiral fx shaft of rad, r arm, 7thR                  Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
47415 S52344S 1 Nondisp spiral fx shaft of radius, right arm, sequela        Nondisplaced spiral fracture of shaft of radius, right arm, sequela
47416 S52345  0 Nondisplaced spiral fracture of shaft of radius, left arm    Nondisplaced spiral fracture of shaft of radius, left arm
47417 S52345A 1 Nondisp spiral fracture of shaft of radius, left arm, init   Nondisplaced spiral fracture of shaft of radius, left arm, initial encounter for closed fracture
47418 S52345B 1 Nondisp spiral fx shaft of rad, l arm, 7thB                  Nondisplaced spiral fracture of shaft of radius, left arm, initial encounter for open fracture type I or II
47419 S52345C 1 Nondisp spiral fx shaft of rad, l arm, 7thC                  Nondisplaced spiral fracture of shaft of radius, left arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
47420 S52345D 1 Nondisp spiral fx shaft of rad, l arm, 7thD                  Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for closed fracture with routine healing
47421 S52345E 1 Nondisp spiral fx shaft of rad, l arm, 7thE                  Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with routine healing
47422 S52345F 1 Nondisp spiral fx shaft of rad, l arm, 7thF                  Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
47423 S52345G 1 Nondisp spiral fx shaft of rad, l arm, 7thG                  Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for closed fracture with delayed healing
47424 S52345H 1 Nondisp spiral fx shaft of rad, l arm, 7thH                  Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with delayed healing
47425 S52345J 1 Nondisp spiral fx shaft of rad, l arm, 7thJ                  Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
47426 S52345K 1 Nondisp spiral fx shaft of rad, l arm, 7thK                  Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for closed fracture with nonunion
47427 S52345M 1 Nondisp spiral fx shaft of rad, l arm, 7thM                  Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with nonunion
47428 S52345N 1 Nondisp spiral fx shaft of rad, l arm, 7thN                  Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
47429 S52345P 1 Nondisp spiral fx shaft of rad, l arm, 7thP                  Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for closed fracture with malunion
47430 S52345Q 1 Nondisp spiral fx shaft of rad, l arm, 7thQ                  Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with malunion
47431 S52345R 1 Nondisp spiral fx shaft of rad, l arm, 7thR                  Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
47432 S52345S 1 Nondisp spiral fx shaft of radius, left arm, sequela         Nondisplaced spiral fracture of shaft of radius, left arm, sequela
47433 S52346  0 Nondisplaced spiral fracture of shaft of radius, unsp arm    Nondisplaced spiral fracture of shaft of radius, unspecified arm
47434 S52346A 1 Nondisp spiral fracture of shaft of radius, unsp arm, init   Nondisplaced spiral fracture of shaft of radius, unspecified arm, initial encounter for closed fracture
47435 S52346B 1 Nondisp spiral fx shaft of rad, unsp arm, 7thB               Nondisplaced spiral fracture of shaft of radius, unspecified arm, initial encounter for open fracture type I or II
47436 S52346C 1 Nondisp spiral fx shaft of rad, unsp arm, 7thC               Nondisplaced spiral fracture of shaft of radius, unspecified arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
47437 S52346D 1 Nondisp spiral fx shaft of rad, unsp arm, 7thD               Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with routine healing
47438 S52346E 1 Nondisp spiral fx shaft of rad, unsp arm, 7thE               Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with routine healing
47439 S52346F 1 Nondisp spiral fx shaft of rad, unsp arm, 7thF               Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
47440 S52346G 1 Nondisp spiral fx shaft of rad, unsp arm, 7thG               Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with delayed healing
47441 S52346H 1 Nondisp spiral fx shaft of rad, unsp arm, 7thH               Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with delayed healing
47442 S52346J 1 Nondisp spiral fx shaft of rad, unsp arm, 7thJ               Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
47443 S52346K 1 Nondisp spiral fx shaft of rad, unsp arm, 7thK               Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with nonunion
47444 S52346M 1 Nondisp spiral fx shaft of rad, unsp arm, 7thM               Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with nonunion
47445 S52346N 1 Nondisp spiral fx shaft of rad, unsp arm, 7thN               Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
47446 S52346P 1 Nondisp spiral fx shaft of rad, unsp arm, 7thP               Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with malunion
47447 S52346Q 1 Nondisp spiral fx shaft of rad, unsp arm, 7thQ               Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with malunion
47448 S52346R 1 Nondisp spiral fx shaft of rad, unsp arm, 7thR               Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
47449 S52346S 1 Nondisp spiral fx shaft of radius, unsp arm, sequela         Nondisplaced spiral fracture of shaft of radius, unspecified arm, sequela
47450 S5235   0 Comminuted fracture of shaft of radius                       Comminuted fracture of shaft of radius
47451 S52351  0 Displaced comminuted fracture of shaft of radius, right arm  Displaced comminuted fracture of shaft of radius, right arm
47452 S52351A 1 Displaced comminuted fx shaft of radius, right arm, init     Displaced comminuted fracture of shaft of radius, right arm, initial encounter for closed fracture
47453 S52351B 1 Displ commnt fx shaft of rad, r arm, 7thB                    Displaced comminuted fracture of shaft of radius, right arm, initial encounter for open fracture type I or II
47454 S52351C 1 Displ commnt fx shaft of rad, r arm, 7thC                    Displaced comminuted fracture of shaft of radius, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
47455 S52351D 1 Displ commnt fx shaft of rad, r arm, 7thD                    Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for closed fracture with routine healing
47456 S52351E 1 Displ commnt fx shaft of rad, r arm, 7thE                    Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with routine healing
47457 S52351F 1 Displ commnt fx shaft of rad, r arm, 7thF                    Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
47458 S52351G 1 Displ commnt fx shaft of rad, r arm, 7thG                    Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for closed fracture with delayed healing
47459 S52351H 1 Displ commnt fx shaft of rad, r arm, 7thH                    Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with delayed healing
47460 S52351J 1 Displ commnt fx shaft of rad, r arm, 7thJ                    Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
47461 S52351K 1 Displ commnt fx shaft of rad, r arm, 7thK                    Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for closed fracture with nonunion
47462 S52351M 1 Displ commnt fx shaft of rad, r arm, 7thM                    Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with nonunion
47463 S52351N 1 Displ commnt fx shaft of rad, r arm, 7thN                    Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
47464 S52351P 1 Displ commnt fx shaft of rad, r arm, 7thP                    Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for closed fracture with malunion
47465 S52351Q 1 Displ commnt fx shaft of rad, r arm, 7thQ                    Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with malunion
47466 S52351R 1 Displ commnt fx shaft of rad, r arm, 7thR                    Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
47467 S52351S 1 Displaced comminuted fx shaft of radius, right arm, sequela  Displaced comminuted fracture of shaft of radius, right arm, sequela
47468 S52352  0 Displaced comminuted fracture of shaft of radius, left arm   Displaced comminuted fracture of shaft of radius, left arm
47469 S52352A 1 Displaced comminuted fx shaft of radius, left arm, init      Displaced comminuted fracture of shaft of radius, left arm, initial encounter for closed fracture
47470 S52352B 1 Displ commnt fx shaft of rad, l arm, 7thB                    Displaced comminuted fracture of shaft of radius, left arm, initial encounter for open fracture type I or II
47471 S52352C 1 Displ commnt fx shaft of rad, l arm, 7thC                    Displaced comminuted fracture of shaft of radius, left arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
47472 S52352D 1 Displ commnt fx shaft of rad, l arm, 7thD                    Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for closed fracture with routine healing
47473 S52352E 1 Displ commnt fx shaft of rad, l arm, 7thE                    Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with routine healing
47474 S52352F 1 Displ commnt fx shaft of rad, l arm, 7thF                    Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
47475 S52352G 1 Displ commnt fx shaft of rad, l arm, 7thG                    Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for closed fracture with delayed healing
47476 S52352H 1 Displ commnt fx shaft of rad, l arm, 7thH                    Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with delayed healing
47477 S52352J 1 Displ commnt fx shaft of rad, l arm, 7thJ                    Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
47478 S52352K 1 Displ commnt fx shaft of rad, l arm, 7thK                    Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for closed fracture with nonunion
47479 S52352M 1 Displ commnt fx shaft of rad, l arm, 7thM                    Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with nonunion
47480 S52352N 1 Displ commnt fx shaft of rad, l arm, 7thN                    Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
47481 S52352P 1 Displ commnt fx shaft of rad, l arm, 7thP                    Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for closed fracture with malunion
47482 S52352Q 1 Displ commnt fx shaft of rad, l arm, 7thQ                    Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with malunion
47483 S52352R 1 Displ commnt fx shaft of rad, l arm, 7thR                    Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
47484 S52352S 1 Displaced comminuted fx shaft of radius, left arm, sequela   Displaced comminuted fracture of shaft of radius, left arm, sequela
47485 S52353  0 Displaced comminuted fracture of shaft of radius, unsp arm   Displaced comminuted fracture of shaft of radius, unspecified arm
47486 S52353A 1 Displaced comminuted fx shaft of radius, unsp arm, init      Displaced comminuted fracture of shaft of radius, unspecified arm, initial encounter for closed fracture
47487 S52353B 1 Displ commnt fx shaft of rad, unsp arm, 7thB                 Displaced comminuted fracture of shaft of radius, unspecified arm, initial encounter for open fracture type I or II
47488 S52353C 1 Displ commnt fx shaft of rad, unsp arm, 7thC                 Displaced comminuted fracture of shaft of radius, unspecified arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
47489 S52353D 1 Displ commnt fx shaft of rad, unsp arm, 7thD                 Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with routine healing
47490 S52353E 1 Displ commnt fx shaft of rad, unsp arm, 7thE                 Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with routine healing
47491 S52353F 1 Displ commnt fx shaft of rad, unsp arm, 7thF                 Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
47492 S52353G 1 Displ commnt fx shaft of rad, unsp arm, 7thG                 Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with delayed healing
47493 S52353H 1 Displ commnt fx shaft of rad, unsp arm, 7thH                 Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with delayed healing
47494 S52353J 1 Displ commnt fx shaft of rad, unsp arm, 7thJ                 Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
47495 S52353K 1 Displ commnt fx shaft of rad, unsp arm, 7thK                 Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with nonunion
47496 S52353M 1 Displ commnt fx shaft of rad, unsp arm, 7thM                 Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with nonunion
47497 S52353N 1 Displ commnt fx shaft of rad, unsp arm, 7thN                 Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
47498 S52353P 1 Displ commnt fx shaft of rad, unsp arm, 7thP                 Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with malunion
47499 S52353Q 1 Displ commnt fx shaft of rad, unsp arm, 7thQ                 Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with malunion
47500 S52353R 1 Displ commnt fx shaft of rad, unsp arm, 7thR                 Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
47501 S52353S 1 Displaced comminuted fx shaft of radius, unsp arm, sequela   Displaced comminuted fracture of shaft of radius, unspecified arm, sequela
47502 S52354  0 Nondisp comminuted fracture of shaft of radius, right arm    Nondisplaced comminuted fracture of shaft of radius, right arm
47503 S52354A 1 Nondisp comminuted fx shaft of radius, right arm, init       Nondisplaced comminuted fracture of shaft of radius, right arm, initial encounter for closed fracture
47504 S52354B 1 Nondisp commnt fx shaft of rad, r arm, 7thB                  Nondisplaced comminuted fracture of shaft of radius, right arm, initial encounter for open fracture type I or II
47505 S52354C 1 Nondisp commnt fx shaft of rad, r arm, 7thC                  Nondisplaced comminuted fracture of shaft of radius, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
47506 S52354D 1 Nondisp commnt fx shaft of rad, r arm, 7thD                  Nondisplaced comminuted fracture of shaft of radius, right arm, subsequent encounter for closed fracture with routine healing
47507 S52354E 1 Nondisp commnt fx shaft of rad, r arm, 7thE                  Nondisplaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with routine healing
47508 S52354F 1 Nondisp commnt fx shaft of rad, r arm, 7thF                  Nondisplaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
47509 S52354G 1 Nondisp commnt fx shaft of rad, r arm, 7thG                  Nondisplaced comminuted fracture of shaft of radius, right arm, subsequent encounter for closed fracture with delayed healing
47510 S52354H 1 Nondisp commnt fx shaft of rad, r arm, 7thH                  Nondisplaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with delayed healing
47511 S52354J 1 Nondisp commnt fx shaft of rad, r arm, 7thJ                  Nondisplaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
47512 S52354K 1 Nondisp commnt fx shaft of rad, r arm, 7thK                  Nondisplaced comminuted fracture of shaft of radius, right arm, subsequent encounter for closed fracture with nonunion
47513 S52354M 1 Nondisp commnt fx shaft of rad, r arm, 7thM                  Nondisplaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with nonunion
47514 S52354N 1 Nondisp commnt fx shaft of rad, r arm, 7thN                  Nondisplaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
47515 S52354P 1 Nondisp commnt fx shaft of rad, r arm, 7thP                  Nondisplaced comminuted fracture of shaft of radius, right arm, subsequent encounter for closed fracture with malunion
47516 S52354Q 1 Nondisp commnt fx shaft of rad, r arm, 7thQ                  Nondisplaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with malunion
47517 S52354R 1 Nondisp commnt fx shaft of rad, r arm, 7thR                  Nondisplaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
47518 S52354S 1 Nondisp comminuted fx shaft of radius, right arm, sequela    Nondisplaced comminuted fracture of shaft of radius, right arm, sequela
47519 S52355  0 Nondisp comminuted fracture of shaft of radius, left arm     Nondisplaced comminuted fracture of shaft of radius, left arm
47520 S52355A 1 Nondisp comminuted fx shaft of radius, left arm, init        Nondisplaced comminuted fracture of shaft of radius, left arm, initial encounter for closed fracture
47521 S52355B 1 Nondisp commnt fx shaft of rad, l arm, 7thB                  Nondisplaced comminuted fracture of shaft of radius, left arm, initial encounter for open fracture type I or II
47522 S52355C 1 Nondisp commnt fx shaft of rad, l arm, 7thC                  Nondisplaced comminuted fracture of shaft of radius, left arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
47523 S52355D 1 Nondisp commnt fx shaft of rad, l arm, 7thD                  Nondisplaced comminuted fracture of shaft of radius, left arm, subsequent encounter for closed fracture with routine healing
47524 S52355E 1 Nondisp commnt fx shaft of rad, l arm, 7thE                  Nondisplaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with routine healing
47525 S52355F 1 Nondisp commnt fx shaft of rad, l arm, 7thF                  Nondisplaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
47526 S52355G 1 Nondisp commnt fx shaft of rad, l arm, 7thG                  Nondisplaced comminuted fracture of shaft of radius, left arm, subsequent encounter for closed fracture with delayed healing
47527 S52355H 1 Nondisp commnt fx shaft of rad, l arm, 7thH                  Nondisplaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with delayed healing
47528 S52355J 1 Nondisp commnt fx shaft of rad, l arm, 7thJ                  Nondisplaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
47529 S52355K 1 Nondisp commnt fx shaft of rad, l arm, 7thK                  Nondisplaced comminuted fracture of shaft of radius, left arm, subsequent encounter for closed fracture with nonunion
47530 S52355M 1 Nondisp commnt fx shaft of rad, l arm, 7thM                  Nondisplaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with nonunion
47531 S52355N 1 Nondisp commnt fx shaft of rad, l arm, 7thN                  Nondisplaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
47532 S52355P 1 Nondisp commnt fx shaft of rad, l arm, 7thP                  Nondisplaced comminuted fracture of shaft of radius, left arm, subsequent encounter for closed fracture with malunion
47533 S52355Q 1 Nondisp commnt fx shaft of rad, l arm, 7thQ                  Nondisplaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with malunion
47534 S52355R 1 Nondisp commnt fx shaft of rad, l arm, 7thR                  Nondisplaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
47535 S52355S 1 Nondisp comminuted fx shaft of radius, left arm, sequela     Nondisplaced comminuted fracture of shaft of radius, left arm, sequela
47536 S52356  0 Nondisp comminuted fracture of shaft of radius, unsp arm     Nondisplaced comminuted fracture of shaft of radius, unspecified arm
47537 S52356A 1 Nondisp comminuted fx shaft of radius, unsp arm, init        Nondisplaced comminuted fracture of shaft of radius, unspecified arm, initial encounter for closed fracture
47538 S52356B 1 Nondisp commnt fx shaft of rad, unsp arm, 7thB               Nondisplaced comminuted fracture of shaft of radius, unspecified arm, initial encounter for open fracture type I or II
47539 S52356C 1 Nondisp commnt fx shaft of rad, unsp arm, 7thC               Nondisplaced comminuted fracture of shaft of radius, unspecified arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
47540 S52356D 1 Nondisp commnt fx shaft of rad, unsp arm, 7thD               Nondisplaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with routine healing
47541 S52356E 1 Nondisp commnt fx shaft of rad, unsp arm, 7thE               Nondisplaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with routine healing
47542 S52356F 1 Nondisp commnt fx shaft of rad, unsp arm, 7thF               Nondisplaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
47543 S52356G 1 Nondisp commnt fx shaft of rad, unsp arm, 7thG               Nondisplaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with delayed healing
47544 S52356H 1 Nondisp commnt fx shaft of rad, unsp arm, 7thH               Nondisplaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with delayed healing
47545 S52356J 1 Nondisp commnt fx shaft of rad, unsp arm, 7thJ               Nondisplaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
47546 S52356K 1 Nondisp commnt fx shaft of rad, unsp arm, 7thK               Nondisplaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with nonunion
47547 S52356M 1 Nondisp commnt fx shaft of rad, unsp arm, 7thM               Nondisplaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with nonunion
47548 S52356N 1 Nondisp commnt fx shaft of rad, unsp arm, 7thN               Nondisplaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
47549 S52356P 1 Nondisp commnt fx shaft of rad, unsp arm, 7thP               Nondisplaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with malunion
47550 S52356Q 1 Nondisp commnt fx shaft of rad, unsp arm, 7thQ               Nondisplaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with malunion
47551 S52356R 1 Nondisp commnt fx shaft of rad, unsp arm, 7thR               Nondisplaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
47552 S52356S 1 Nondisp comminuted fx shaft of radius, unsp arm, sequela     Nondisplaced comminuted fracture of shaft of radius, unspecified arm, sequela
47553 S5236   0 Segmental fracture of shaft of radius                        Segmental fracture of shaft of radius
47554 S52361  0 Displaced segmental fracture of shaft of radius, right arm   Displaced segmental fracture of shaft of radius, right arm
47555 S52361A 1 Displaced segmental fx shaft of radius, right arm, init      Displaced segmental fracture of shaft of radius, right arm, initial encounter for closed fracture
47556 S52361B 1 Displ seg fx shaft of rad, r arm, init for opn fx type I/2   Displaced segmental fracture of shaft of radius, right arm, initial encounter for open fracture type I or II
47557 S52361C 1 Displ seg fx shaft of rad, r arm, 7thC                       Displaced segmental fracture of shaft of radius, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
47558 S52361D 1 Displ seg fx shaft of rad, r arm, 7thD                       Displaced segmental fracture of shaft of radius, right arm, subsequent encounter for closed fracture with routine healing
47559 S52361E 1 Displ seg fx shaft of rad, r arm, 7thE                       Displaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with routine healing
47560 S52361F 1 Displ seg fx shaft of rad, r arm, 7thF                       Displaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
47561 S52361G 1 Displ seg fx shaft of rad, r arm, 7thG                       Displaced segmental fracture of shaft of radius, right arm, subsequent encounter for closed fracture with delayed healing
47562 S52361H 1 Displ seg fx shaft of rad, r arm, 7thH                       Displaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with delayed healing
